"sire";"fat";"protein"
1;3.46;3.26
2;4.46;3.23
3;3.93;3.08
4;4.26;3.29
1;4.26;3.52
4;4.4;3.28
5;4.28;3.21
6;5.06;3.56
6;4.89;3.45
7;4.72;3.31
7;4.3;3.3
8;4.02;3.51
9;3.78;3.12
10;4.5;3.21
9;4.01;2.92
11;3.77;3.17
12;4.12;3.27
2;4.39;3.09
9;3.6;2.98
2;3.78;3.32
13;4.66;3.13
2;3.78;3.23
12;4.41;3.67
12;3.89;3.32
10;3.79;3.15
7;4.29;3.29
4;5.15;3.62
14;5.38;3.88
15;4.95;3.51
2;4.12;3.43
7;4.38;3.33
16;3.58;3.33
16;4.5;3.57
10;4.03;3.26
2;4.67;3.4
2;3.23;3.14
13;3.95;3.35
2;3.53;3.18
13;3.21;3.32
4;4.9;3.82
2;3.53;3.35
2;4.61;3.95
2;4.23;3.58
2;4.44;3.47
9;3.9;3.39
17;3.8;3.27
10;5.03;3.75
18;3.99;3.38
10;4.03;3.43
19;3.94;3.38
19;4.15;3.41
19;3.13;3.23
19;3.83;3.32
19;3.96;3.62
19;3.64;3.37
10;4.62;3.43
20;4.21;3.08
21;3.72;3.28
21;3.83;3.26
21;3.69;3.31
17;3.97;3.02
15;4.19;3.25
15;4.26;3.3
15;5;3.73
15;5.27;3.45
10;3.5;3.25
4;4.89;3.58
16;5.01;3.52
22;3.96;3.22
9;3.94;3.15
21;4.57;3.3
9;3.81;2.93
2;4.29;3.2
20;4.25;3.38
2;4.84;3.89
16;4.65;3.42
16;4.16;3.17
16;4.9;3.51
16;4.2;3.54
23;4.04;3.55
2;4.33;3.45
19;4.51;3.59
5;3.61;3.02
20;4.09;3.04
11;4.16;3.45
7;3.92;3
20;4.23;3.09
9;3.84;2.98
24;4.21;3.47
16;4.48;3.42
10;3.68;3.16
3;3.99;3.03
6;3.74;3.17
10;4.12;3.06
25;4.01;3.1
10;4.37;3.08
2;4.67;3.4
26;3.88;3.09
6;3.8;3.23
6;3.88;3.05
22;4.55;3.39
2;4.43;3.33
7;4.37;3.19
16;4.44;3.48
19;3.24;3.13
7;4.67;3.44
2;4.19;3.38
2;4.89;3.5
15;5.02;3.27
2;3.51;3.34
2;4.37;3.72
2;4.25;3.42
16;4.55;3.17
19;3.41;3.19
19;3.64;3.19
19;3.64;3.26
7;4.19;3.46
15;4.6;3.3
13;3.84;3.18
6;4.31;3.15
23;4.71;3.4
27;4.39;3.2
22;4.42;3.06
26;4.1;2.82
7;4.23;3.15
7;4.01;3.39
5;3.55;2.97
20;4.4;3.52
7;4.36;3.39
7;4.45;3.45
5;4.21;3.68
28;4.9;3.46
28;4.12;3.36
21;4.32;3.32
5;4.2;3.14
5;4.16;3.29
5;4.7;3.42
2;4.49;3.31
14;4.15;3.22
23;4.03;3.24
2;4.62;3.39
