"method","bobbin","strength"
"A","1",15
"A","1",17
"A","1",13.8
"A","1",15.5
"A","2",15.7
"A","2",15.6
"A","2",17.6
"A","2",17.1
"A","3",14.8
"A","3",15.8
"A","3",18.2
"A","3",16
"A","4",14.9
"A","4",14.2
"A","4",15
"A","4",12.8
"A","5",13
"A","5",16.2
"A","5",16.4
"A","5",14.8
"A","6",15.9
"A","6",15.6
"A","6",15
"A","6",15.5
"B","7",18.2
"B","7",16.8
"B","7",18.1
"B","7",17
"B","8",17.2
"B","8",18.5
"B","8",15
"B","8",16.2
"B","9",15.2
"B","9",15.9
"B","9",14.5
"B","9",14.2
"B","10",15.6
"B","10",16
"B","10",15.2
"B","10",14.9
"B","11",19.2
"B","11",18
"B","11",17
"B","11",16.9
"B","12",16.2
"B","12",15.9
"B","12",14.9
"B","12",15.5
